localidade,data,precipitacao,pressao_atmosferica,radiacao_solar_global,temperatura_bulbo_seco,temperatura_orvalho,umidade_relativa,velocidade_vento
BRASILIA,2019-08-31T00:00:00Z,0.0,888.67,1651.41,24.38,8.54,38.0,2.17
BRASILIA,2019-09-01T00:00:00Z,0.0,887.37,1532.73,24.88,7.2,34.17,2.06
BRASILIA,2019-09-02T00:00:00Z,0.0,886.75,1517.05,23.86,6.25,34.25,1.48
BRASILIA,2019-09-03T00:00:00Z,0.0,887.91,1781.35,26.1,6.89,30.75,2.77
BRASILIA,2019-09-04T00:00:00Z,0.0,889.27,1868.92,26.15,4.37,26.29,3.23
BRASILIA,2019-09-05T00:00:00Z,0.0,890.02,1886.98,25.09,3.19,26.29,3.39
BRASILIA,2019-09-06T00:00:00Z,0.0,890.55,1815.58,23.94,5.35,31.22,4.18
BRASILIA,2019-09-07T00:00:00Z,0.0,891.96,1516.74,22.43,11.93,52.96,3.95
BRASILIA,2019-09-08T00:00:00Z,0.0,892.1,1830.31,22.99,11.72,51.5,3.53
BRASILIA,2019-09-09T00:00:00Z,0.0,890.61,1814.84,24.1,9.69,42.54,2.72
BRASILIA,2019-09-10T00:00:00Z,0.0,889.46,1864.65,25.25,6.54,31.71,2.36
BRASILIA,2019-09-11T00:00:00Z,0.0,888.18,1885.35,25.58,5.17,29.21,2.44
BRASILIA,2019-09-12T00:00:00Z,0.0,887.83,1849.02,26.02,3.39,25.29,2.23
BRASILIA,2019-09-13T00:00:00Z,0.0,887.99,1885.14,26.84,2.21,21.62,2.75
BRASILIA,2019-09-14T00:00:00Z,0.0,887.99,1870.48,25.78,3.39,25.33,3.01
BRASILIA,2019-09-15T00:00:00Z,0.0,888.35,1938.92,24.3,6.35,32.92,3.34
BRASILIA,2019-09-16T00:00:00Z,0.0,888.08,1960.99,24.75,5.84,31.21,3.48
BRASILIA,2019-09-17T00:00:00Z,0.0,886.95,1894.47,24.61,5.63,32.25,2.12
BRASILIA,2019-09-18T00:00:00Z,0.0,885.15,1702.28,25.65,3.28,24.67,2.1
BRASILIA,2019-09-19T00:00:00Z,0.0,884.9,1786.68,26.1,1.09,21.09,2.08
BRASILIA,2019-09-20T00:00:00Z,0.0,886.49,1462.02,29.92,4.66,21.0,1.82
BRASILIA,2019-09-21T00:00:00Z,0.0,886.35,1764.56,27.02,5.67,27.42,1.79
BRASILIA,2019-09-22T00:00:00Z,0.0,886.85,1867.56,27.35,7.17,28.79,2.41
BRASILIA,2019-09-23T00:00:00Z,0.0,888.8,2019.29,25.36,8.32,34.21,4.25
BRASILIA,2019-09-24T00:00:00Z,0.0,890.0,2059.31,23.4,11.31,48.83,3.84
BRASILIA,2019-09-25T00:00:00Z,1.2,888.08,1259.6,24.2,9.9,41.5,2.46
BRASILIA,2019-09-26T00:00:00Z,5.4,887.84,656.79,19.85,15.76,78.5,2.29
BRASILIA,2019-09-27T00:00:00Z,0.0,887.43,1426.24,20.74,15.62,74.29,1.83
