localidade,cultura,ano,indicador,custo
PASSO FUNDO,TRIGO,2018,CUSTEIO  DA LAVOURA,1441.17
PASSO FUNDO,TRIGO,2018,OUTRAS DESPESAS,239.17
PASSO FUNDO,TRIGO,2018,DESPESAS FINANCEIRAS,73.81
PASSO FUNDO,TRIGO,2018,DEPRECIACOES,191.43
PASSO FUNDO,TRIGO,2018,OUTROS CUSTOS FIXOS,147.95
PASSO FUNDO,TRIGO,2018,RENDA DE FATORES,711.64
PASSO FUNDO,TRIGO,2018,PRODUTIVIDADE MEDIA,2900.0
PASSO FUNDO,TRIGO,2019,CUSTEIO  DA LAVOURA,1651.29
PASSO FUNDO,TRIGO,2019,OUTRAS DESPESAS,295.8
PASSO FUNDO,TRIGO,2019,DESPESAS FINANCEIRAS,70.58
PASSO FUNDO,TRIGO,2019,DEPRECIACOES,196.58
PASSO FUNDO,TRIGO,2019,OUTROS CUSTOS FIXOS,154.04
PASSO FUNDO,TRIGO,2019,RENDA DE FATORES,545.53
PASSO FUNDO,TRIGO,2019,PRODUTIVIDADE MEDIA,2900.0
PASSO FUNDO,TRIGO,2020,CUSTEIO  DA LAVOURA,1649.23
PASSO FUNDO,TRIGO,2020,OUTRAS DESPESAS,298.74
PASSO FUNDO,TRIGO,2020,DESPESAS FINANCEIRAS,77.89
PASSO FUNDO,TRIGO,2020,DEPRECIACOES,196.73
PASSO FUNDO,TRIGO,2020,OUTROS CUSTOS FIXOS,159.7
PASSO FUNDO,TRIGO,2020,RENDA DE FATORES,545.76
PASSO FUNDO,TRIGO,2020,PRODUTIVIDADE MEDIA,2900.0
PASSO FUNDO,TRIGO,2021,CUSTEIO  DA LAVOURA,2471.3
PASSO FUNDO,TRIGO,2021,OUTRAS DESPESAS,370.38
PASSO FUNDO,TRIGO,2021,DESPESAS FINANCEIRAS,86.71
PASSO FUNDO,TRIGO,2021,DEPRECIACOES,247.8
PASSO FUNDO,TRIGO,2021,OUTROS CUSTOS FIXOS,174.96
PASSO FUNDO,TRIGO,2021,RENDA DE FATORES,155.42
PASSO FUNDO,TRIGO,2021,PRODUTIVIDADE MEDIA,2900.0
